OBJECTID,FIPS,Tract_Name,Tract_FIPS,County,Area_Land_Square_Miles,Area_Water_Square_Miles,Population_Total,Population_Density_PerLandSquareMile
1,8043979000,"Census Tract 9790, Fremont County, Colorado",8043979000,FREMONT,1009.02,0.06,3471,3.4
2,8045951600,"Census Tract 9516, Garfield County, Colorado",8045951600,GARFIELD,573.42,3.47,3656,6.4
3,8069002803,"Census Tract 28.03, Larimer County, Colorado",8069002803,LARIMER,218.45,1,97,0.4
4,8125963200,"Census Tract 9632, Yuma County, Colorado",8125963200,YUMA,1034.06,0.53,5467,5.3
5,8069002401,"Census Tract 24.01, Larimer County, Colorado",8069002401,LARIMER,398.87,1.42,1310,3.3
6,8069002402,"Census Tract 24.02, Larimer County, Colorado",8069002402,LARIMER,940.92,3.79,2712,2.9
7,8103951200,"Census Tract 9512, Rio Blanco County, Colorado",8103951200,RIO BLANCO,1230.12,0.01,2625,2.1
8,8103951100,"Census Tract 9511, Rio Blanco County, Colorado",8103951100,RIO BLANCO,1990.81,1.87,3932,2
9,8049000201,"Census Tract 2.01, Grand County, Colorado",8049000201,GRAND,495.28,15.35,4908,9.9
10,8049000202,"Census Tract 2.02, Grand County, Colorado",8049000202,GRAND,252.58,0.09,6907,27.3
11,8049000100,"Census Tract 1, Grand County, Colorado",8049000100,GRAND,1098.47,7.83,2978,2.7
12,8081000600,"Census Tract 6, Moffat County, Colorado",8081000600,MOFFAT,4581.62,6.94,1321,0.3
13,8081000500,"Census Tract 5, Moffat County, Colorado",8081000500,MOFFAT,3.77,0,4319,1145.6
14,8081000400,"Census Tract 4, Moffat County, Colorado",8081000400,MOFFAT,2.81,0,4548,1618.5
15,8081000300,"Census Tract 3, Moffat County, Colorado",8081000300,MOFFAT,155.09,0.68,2868,18.5
16,8057955600,"Census Tract 9556, Jackson County, Colorado",8057955600,JACKSON,1613.72,7.24,1372,0.9
17,8121924100,"Census Tract 9241, Washington County, Colorado",8121924100,WASHINGTON,1771.54,2.66,1939,1.1
18,8107000800,"Census Tract 8, Routt County, Colorado",8107000800,ROUTT,578.9,2.49,2059,3.6
19,8107000700,"Census Tract 7, Routt County, Colorado",8107000700,ROUTT,58.55,0.1,5070,86.6
20,8107000500,"Census Tract 5, Routt County, Colorado",8107000500,ROUTT,42.59,0.02,4144,97.3
21,8107000200,"Census Tract 2, Routt County, Colorado",8107000200,ROUTT,12.42,0.01,1996,160.7
22,8107000400,"Census Tract 4, Routt County, Colorado",8107000400,ROUTT,38.87,0.01,3909,100.6
23,8107000600,"Census Tract 6, Routt County, Colorado",8107000600,ROUTT,31.96,0.14,3028,94.7
24,8107000300,"Census Tract 3, Routt County, Colorado",8107000300,ROUTT,507.22,0.41,2219,4.4
25,8107000100,"Census Tract 1, Routt County, Colorado",8107000100,ROUTT,1091.53,2.94,1934,1.8
26,8051963900,"Census Tract 9639, Gunnison County, Colorado",8051963900,GUNNISON,1645.69,16.08,869,0.5
27,8051963700,"Census Tract 9637, Gunnison County, Colorado",8051963700,GUNNISON,5.6,0,6461,1153.8
28,8051963600,"Census Tract 9636, Gunnison County, Colorado",8051963600,GUNNISON,1261.58,4.14,4040,3.2
29,8051963800,"Census Tract 9638, Gunnison County, Colorado",8051963800,GUNNISON,326.23,0.3,4845,14.9
30,8021974900,"Census Tract 9749, Conejos County, Colorado",8021974900,CONEJOS,1048.78,3.42,4109,3.9
31,8021974800,"Census Tract 9748, Conejos County, Colorado",8021974800,CONEJOS,238.61,0.15,4038,16.9
32,8037000703,"Census Tract 7.03, Eagle County, Colorado",8037000703,EAGLE,85.83,0.19,2663,31
33,8037000301,"Census Tract 3.01, Eagle County, Colorado",8037000301,EAGLE,9.25,0.04,6327,684
34,8037000702,"Census Tract 7.02, Eagle County, Colorado",8037000702,EAGLE,17.6,0.02,1627,92.4
35,8037000402,"Census Tract 4.02, Eagle County, Colorado",8037000402,EAGLE,65.05,0.29,4703,72.3
36,8037000501,"Census Tract 5.01, Eagle County, Colorado",8037000501,EAGLE,19.28,0.05,630,32.7
37,8037000502,"Census Tract 5.02, Eagle County, Colorado",8037000502,EAGLE,13.83,0.06,4421,319.7
38,8037000302,"Census Tract 3.02, Eagle County, Colorado",8037000302,EAGLE,231.68,1.35,2188,9.4
39,8037000403,"Census Tract 4.03, Eagle County, Colorado",8037000403,EAGLE,199.67,0.43,8382,42
40,8037000701,"Census Tract 7.01, Eagle County, Colorado",8037000701,EAGLE,7.77,0.02,1503,193.4
